46Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
46P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
47Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
47Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
47P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
48Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
48Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
48P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
49Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
49Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
49P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
50Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
50Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
50P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
51Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
51Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
51P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
52Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
52Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
52P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
53Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
53Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
53P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
54Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
54Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
54P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
55Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
55Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
55P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
56Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
56Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
56P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
57Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
57Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
57P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
58Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
58Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
58P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
59Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
59Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
59P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
60Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
60Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
60P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
61Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
61Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
61P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
62Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
